wavelength_nm,transmission_amplitude_real,transmission_amplitude_imag,transmission_phase_rad,transmission_phase_unwrapped_rad
497.0,-0.9632976861868072,0.14422193538759223,2.9929795959756027,-3.2902057112039826
498.0,-0.9602210458280249,0.18652892579309066,2.949725994820709,-3.3334593123588765
499.0,-0.9554752893907462,0.22922165415190207,2.906139128934847,-3.3770461782447385
500.0,-0.9489702295499265,0.2722438348063397,2.8622124213631595,-3.420972885816426
501.0,-0.9406176360844675,0.3155287381909298,2.817939693951921,-3.4652456132276646
502.0,-0.9303315081353641,0.35899908397959196,2.773315053614533,-3.5098702535650523
503.0,-0.9180285131042075,0.4025667157320136,2.728332931918373,-3.5548523752612122
504.0,-0.9036286586340957,0.4461321285266171,2.6829882497281696,-3.6001970574514157
505.0,-0.8870562440394962,0.4895839323449092,2.637276679081443,-3.6459086280981423
506.0,-0.8682411163018009,0.5327983412237864,2.5911949756366974,-3.691990331542888
507.0,-0.8471202339161372,0.5756387812675615,2.5447413568332307,-3.7384439503463547
508.0,-0.8236395201306136,0.6179557094849668,2.4979159032164095,-3.785269403963176
509.0,-0.7977559661390835,0.6595867302036375,2.4507209630600606,-3.8324643441195247
510.0,-0.7694399252049827,0.7003570867393486,2.4031615432805724,-3.880023763899013
511.0,-0.7386775210522115,0.740080593380872,2.355245672468929,-3.9279396347106563
512.0,-0.7054730786172364,0.7785610569408286,2.306984724456075,-3.9762005827235103
513.0,-0.6698514728110875,0.8155942184448374,2.2583936929946287,-4.024791614184957
514.0,-0.6318602816684402,0.8509702242989043,2.2094914097379923,-4.0736938974415935
515.0,-0.5915716245932743,0.8844766127555576,2.1603006986669406,-4.122884608512645
516.0,-0.5490835648676295,0.915901776003086,2.110848460453555,-4.17233684672603
517.0,-0.5045209588278619,0.9450388311266813,2.0611656800599327,-4.222019627119653
518.0,-0.4580356429120225,0.9716898051494539,2.011287350318299,-4.271897956861286
519.0,-0.40980586499235633,0.9956700112816088,1.9612523035889153,-4.3219330035906705
520.0,-0.3600348888386408,1.0168124667527476,1.911102943173073,-4.372082364006513
521.0,-0.3089487307870875,1.034972179038475,1.8608848663533863,-4.4223004408261986
522.0,-0.2567930258346277,1.0500301092979987,1.8106463721598243,-4.472538935019761
523.0,-0.2038290657922977,1.0618966122076092,1.7604378496066082,-4.522747457572978
524.0,-0.1503291031546541,1.0705141530772928,1.7103110465409483,-4.572874260638637
525.0,-0.09657106804205981,1.0758591189392488,1.6603182255378808,-4.622867081641704
526.0,-0.04283289772758046,1.0779425722010818,1.6105112213922597,-4.6726740857873255
527.0,0.01061327650072757,1.076809844099523,1.560940424285314,-4.722244882894271
528.0,0.06350680809714776,1.0725389292109901,1.5116537228437192,-4.771531584335866
529.0,0.11560378908891222,1.0652377179178645,1.4626954509192247,-4.820489856260361
530.0,0.1666815983868522,1.055040184768349,1.4141053895523612,-4.869079917627224
531.0,0.21654249969137904,1.0421017288605858,1.3659178797315163,-4.917267427448069
532.0,0.2650161046106703,1.026593928478197,1.3181611008832061,-4.965024206296379
533.0,0.3119605972313115,1.0086990173855133,1.2708565636817073,-5.0123287434978785
534.0,0.3572627089915746,0.9886044077228784,1.2240188536811258,-5.0591664534984595
535.0,0.40083652679690474,0.966497571114095,1.177655645288228,-5.1055296618913575
536.0,0.44262130163863794,0.9425615465849942,1.1317679854727143,-5.151417321706871
537.0,0.48257848955969046,0.9169712767470999,1.0863508257550574,-5.196834481424528
538.0,0.5206882946900896,0.8898908914345754,1.041393762096699,-5.2417915450828865
539.0,0.5569459924812319,0.8614719714044274,0.9968819277593977,-5.286303379420188
540.0,0.5913582918594642,0.8318527444872154,0.9527969757324973,-5.330388331447088
541.0,0.623939953251206,0.8011581014086355,0.9091180856718005,-5.374067221507785
542.0,0.6547108231988498,0.7695002739116252,0.8658229351160591,-5.417362372063526
543.0,0.6836933843123054,0.736979995658078,0.822888584782598,-5.460296722396987
544.0,0.7109108595757856,0.7036879652021913,0.7802922411536611,-5.5028930660259245
545.0,0.7363858587093134,0.6697064461443081,0.7380118743165398,-5.545173432863045
546.0,0.7601395151451016,0.6351108670762977,0.6960266832417576,-5.587158623937828
547.0,0.7821910365706167,0.5999713175716471,0.654317412972192,-5.628867894207393
548.0,0.802557579286599,0.5643538713163273,0.6128665376843854,-5.6703187694952
549.0,0.8212543548122337,0.5283216997528176,0.571658329984849,-5.711526977194737
550.0,0.8382948835204191,0.4919359668982429,0.5306788402847474,-5.752506466894838
551.0,0.8536913217396617,0.4552565171654005,0.4899158111495732,-5.793269496030012
552.0,0.8674548031388406,0.4183423829670245,0.44935855079948256,-5.833826756380103
553.0,0.8795957502522589,0.3812521482648391,0.40899778814966165,-5.874187519029924
554.0,0.8901241262624234,0.3440442091088622,0.3688255295890315,-5.914359777590554
555.0,0.899049609783412,0.3067769738555716,0.3288349356866165,-5.954350371492969
556.0,0.9063816860564486,0.2695090454057458,0.2890202346783845,-5.994165072501201
557.0,0.9121296567731975,0.2322994266078233,0.24937668936121996,-6.033808617818365
558.0,0.9163025781230459,0.19520778890464824,0.20990063531465733,-6.073284671864928
559.0,0.9189091433330814,0.1582948441610838,0.1705896116446575,-6.112595695534928
560.0,0.9199575329374466,0.12162286102079009,0.1314426112624983,-6.151742695917087
561.0,0.919455264601057,0.085256370553866,0.09246048684577685,-6.190724820333808
562.0,0.9174090863255692,0.04926311160687777,0.053646562135793434,-6.229538745043792
563.0,0.9138249747455353,0.01371527403390228,0.015007517545028121,-6.268177789634557
564.0,0.9087083274487402,-0.021308892886597455,-0.023445353926810877,-6.3066306611063965
565.0,0.9020644797198956,-0.0557230310588247,-0.061694387424438474,-6.344879694604024
566.0,0.8938997386394115,-0.0894301039859195,-0.09971310111966868,-6.382898408299254
567.0,0.8842232202078751,-0.12231923831246684,-0.13746281937038823,-6.420648126549974
568.0,0.8730499093465315,-0.15426194943018826,-0.17488804292557886,-6.458073350105164
569.0,0.8604055494821009,-0.18510782831618985,-0.21191016876985774,-6.4950954759494435
570.0,0.8463342124345636,-0.2146799891731029,-0.24841911797558455,-6.5316044251551695
571.0,0.8309096809432378,-0.2427710104069038,-0.2842624967581822,-6.5674478039377675
572.0,0.8142520133022823,-0.2691408857879762,-0.31923226491562295,-6.6024175720952085
573.0,0.7965506314177233,-0.2935198199006772,-0.3530498533104912,-6.6362351604900764
574.0,0.7780944923469694,-0.3156206997879934,-0.3853528453631247,-6.66853815254271
